,date,timestamp,main_title,main_content,feature_title_0,feature_title_1,feature_title_2,video_title_0,video_title_1,video_title_2,stories_title_0,stories_title_1,stories_title_2,stories_title_3,stories_title_4,stories_title_5,stories_content_0,stories_content_1,stories_content_2,stories_content_3,stories_content_4,stories_content_5
0,20190601,20190601113456,U.S. begins collecting higher tariffs on Chinese goods arriving by sea,"The United States began collecting higher, 25% tariffs on many Chinese goods arriving in U.S. seaports on Saturday morning in an intensification of the trade war between the world's two largest economies and drawing retaliation from Beijing.","Mexico, U.S. business groups urge Trump to back down on tariff threat",China to investigate whether FedEx harmed client interests: Xinhua,U.S. judge waves through D.C. case against Facebook,Trade jitters slam Wall Street,"Don't let uncertainty hold you back, says Janet Brown",Global markets battered by Trump's Mexico threat,Struggles of transport stocks transmit caution to market,India plays down Trump decision to remove U.S. trade privileges,U.S. Justice Department prepares Google antitrust probe: sources,Cruise line Carnival seeks dismissal of U.S. lawsuits over Cuba docks,Total takes on Toshiba's U.S. LNG business after Chinese buyer pulls out,Exclusive: Space firm founded by billionaire Paul Allen closing operations - sources,"Add this to worries about Wall Street: The index of planes, trains and trucking companies, considered an important stock barometer of the U.S. economy's health, is struggling.",The Indian government said on Saturday it will continue to seek to build strong economic ties with the United States despite a decision by U.S. President Donald Trump to end preferential trade treatment for India from June 5.,"The U.S. Justice Department is preparing an investigation of Alphabet Inc's Google to determine whether the tech giant broke antitrust law in operating its sprawling online businesses, two sources familiar with the matter said.","Cruise line Carnival Corp is asking a U.S. court to dismiss lawsuits that claim the company profited from confiscated Cuban property, the first such cases brought since the Trump administration made them possible this month.","Total will take over Toshiba's U.S. liquefied natural gas business and get $800 million cash from the Japanese group as part of the deal, the companies said on Saturday, weeks  after attempts to sell it to a Chinese buyer fell through.","Stratolaunch Systems Corporation, the space company founded by late billionaire and Microsoft Corp co-founder Paul Allen, is closing operations, cutting short ambitious plans to challenge traditional aerospace companies in a new ""space race,"" four people familiar with the matter said on Friday."
1,20190602,20190602124558,China says U.S. can't use pressure to force trade deal,"The United States cannot use pressure to force a trade deal on China, a senior Chinese official and trade negotiator said on Sunday, refusing to be drawn on whether the leaders of the two countries would meet at the G20 summit to bash out an agreement.","Airlines want joint lifting of 737 MAX ban, but EU cautious",Mexican president hints at migration concessions to defuse U.S. trade spat,"A year after Qatar boss' gaffe, airlines still pay 'lip service' to diversity: executives",Mexican president hints at way to avoid tariff,Google could face DOJ antitrust probe -sources,Trade jitters slam Wall Street,U.S. Justice Department prepares Google antitrust probe: sources,U.S. regulators divide scrutiny of Amazon and Google: Washington Post,Japan Airlines looks to deepen partnership with Malaysia Airlines,GE says French plant set for layoffs will not close down,Warren Buffett charity lunch fetches record $4.57 million winning bid,Wall Street Weekahead: Struggles of transport stocks transmit caution to market,"The U.S. Justice Department is preparing an investigation of Alphabet Inc's Google to determine whether the tech giant broke antitrust law in operating its sprawling online businesses, two sources familiar with the matter said.","U.S. antitrust regulators have divided oversight of Amazon.com Inc and Alphabet Inc's Google, putting Amazon under the watch of the Federal Trade Commission and Google under the Justice Department, the Washington Post said on Saturday.","Japan Airlines Co Ltd (JAL) may expand a joint venture with Malaysia Airlines to cover U.S. flights and other Asian routes in the future, the Japanese carrier's president said.","A General Electric (GE) factory in eastern France where the U.S. group is planning job cuts will not close down, and the firm is looking into alternatives there including building aeronautical parts, GE's French boss said in a media interview.","An anonymous bidder has agreed to pay a record $4,567,888 at an annual charity auction to have a private lunch with Warren Buffett, the billionaire chairman of Berkshire Hathaway Inc.","Add this to worries about Wall Street: The index of planes, trains and trucking companies, considered an important stock barometer of the U.S. economy's health, is struggling."
2,20190603,20190603114547,"Reeling from tariff threat, Mexico begins immigration talks in Washington","Fighting to stave off punitive tariffs announced by U.S. President Donald Trump, a senior Mexican delegation was set to begin high level talks on Monday in Washington, where it will be pushed to do more to hold back Central American migrants.",Infineon digs deep to buy Cypress in $10 billion deal,Goldman Sachs arm to buy Capital Vision Services,"Exclusive: Nissan optimistic about FCA partnership, but wants right terms, source says",Mexican president hints at way to avoid tariff,Google could face DOJ antitrust probe -sources,Trade jitters slam Wall Street,"Exclusive: U.S. set to grant tentative approval to American, Qantas venture - sources",Sunrise takeover of Liberty Global unit under review by competition authorities,Spice maker McCormick's quest to make your vanilla milkshake cheaper,Bonds 'on fire' as flight to safety gathers momentum,"Google says issues affecting YouTube, Gmail, Google Cloud in U.S. resolved",Azerbaijan cancels $1 billion contract with Boeing for safety reasons,"The U.S. Transportation Department is expected to provide tentative approval to a bid by American Airlines Group Inc and Qantas Airways Ltd to operate a joint venture, two people briefed on the matter said on Sunday.","Sunrise Communications on Monday said the Swiss competition authorities have decided to ""examine in detail"" its planned  $6.3 billion takeover of Liberty Global's Swiss UPC cable business.",A kilo of vanilla beans costs more than a kilo of silver.,"A stampede to safety sent benchmark government bond yields tumbling on Monday, hoisted the Swiss franc to its highest in nearly two years, gold to a 10-week peak and left oil heading for bear market territory.","Alphabet Inc's Google said on Sunday it had resolved the network congestion in the eastern United States that affected services in Google Cloud, G Suite and YouTube.","Azerbaijan airline AZAL has canceled a $1 billion contract with Boeing to purchase 10 737 MAX jets, a spokesman said on Monday, following the fatal crashes involving the aircraft in Ethiopia and Indonesia."
3,20190604,20190604121418,"U.S. firms fret as China's FedEx probe, planned hit-list heightens trade frictions",The sudden deterioration in trade talks between the United States and China last month has ratcheted up concerns among U.S. firms that the dispute could go beyond tariffs and affect business in the long-term.,U.S. moving toward major antitrust probe of tech giants,"Exclusive: SEC probes Siemens, GE, Philips in alleged China medical equipment scheme",FCA-Renault bid clears French hurdles as board meets: sources,Australia cuts interest rates in sign of global monetary easing cycle,"Trump's UK visit turns to Brexit, Huawei amid London protests",Tech selloff spreads to European stocks,"China warns its companies on U.S. travel, rebuffs trade criticism",Uber says IRS looking at its 2013-14 tax returns,UK's May will make clear to Trump that Huawei role is under review:  spokeswoman,Exclusive: Pile drive - China expected to divert outstanding U.S. soybean cargoes into reserves,Stocks fend off tech problems; bonds stay strong,Explainer: U.S. dependence on China's rare earth - Trade war vulnerability,"China warned its companies operating in the United States on Tuesday they could face harassment from U.S. law enforcement agencies, as it also rebuffed U.S. criticism of a trade white paper as ""singing the same old tune"".","The U.S. Internal Revenue Service is currently looking at Uber Technologies Inc's taxes for 2013 and 2014, and the ride-hailing company said it expects unrecognized tax benefits to be reduced within the next year by at least $141 million.","Prime Minister Theresa May will make clear to U.S. President Donald Trump on Tuesday that Britain is reviewing ""the right policy"" on Chinese company Huawei and its involvement in the UK's 5G telecommunications network, her spokeswoman said.","China will stockpile up to 7 million tonnes of soybeans bought from the United States during an earlier truce in the trade war between the nations, two traders familiar with the matter said, rather than crush them for immediate sale as a feed ingredient.","European stock markets and Wall Street futures clawed higher on Tuesday, though worries about a clampdown on the world's internet and social media giants and mounting recession jitters kept caution levels high.","Rare earth elements are used in a wide range of consumer products, from iPhones to electric car motors, as well as military jet engines, satellites and lasers."
4,20190605,20190605123335,"SEC poised to adopt rules aimed at preventing broker conflicts, boosting disclosure",The U.S. Securities and Exchange Commission (SEC) on Wednesday will vote to adopt a package of rules mandating brokerage firms disclose potential conflicts in the fees investors pay and the commission brokers earn when giving financial advice.,Chinese importers to apply for tariff waivers on U.S. goods,"Apple asks developers to place its login button above Google, Facebook",Top tech executives will be asked to testify in U.S. probe,Kenya retires old banknote in fight against illicit flows,Samsung Electronics to cut China phone output as market share sinks,Norsk Hydro Q1 core profit plunges after cyber attack,Mexican officials hope to avert U.S. tariffs in last-ditch talks,Volkswagen to invest up to 4 billion euros in digital transformation,"Fed's slipstream leaves stocks beaming, dollar subdued","Exclusive: Promising thousands of U.S. jobs, Foxconn offshored 155 to Mexico",Samsung Electronics to cut China phone output as market share sinks,BMW and Jaguar Land Rover to jointly develop electric car parts,Mexican officials will seek to persuade the White House in talks hosted by U.S. Vice President Mike Pence on Wednesday that their government has done enough to stem immigration and avoid looming  tariffs.,"Volkswagen will invest up to 4 billion euros over the years to 2023 to digitalize its administration and production, the German carmaker said on Wednesday, adding that up to 4,000 jobs in non-production units could be cut.","Global stocks gained for a third straight day on Wednesday, bolstered by investors' growing hopes that the Federal Reserve might cut interest rates this year to boost a slowing global economy, while the dollar languished near seven-week lows.","Foxconn has offshored more than 150 U.S. jobs to Mexico, according to the Labor Department, even as it struggles to meet job-creation targets promised as part of a massive new factory championed by President Donald Trump.","South Korea's Samsung Electronics Co Ltd said on Wednesday it plans to cut production at a smartphone plant in China, as competition from domestic rivals squeezes its share of the world's biggest smartphone market to less than a paltry 1%.","BMW and Jaguar Land Rover on Wednesday said they will jointly develop electric motors, transmissions and power electronics, unveiling yet another industry alliance designed to lower the costs of developing electric cars."
5,20190606,20190606130728,Trump threatens China with tariffs on further $300 billion of goods,"U.S. President Donald Trump threatened to hit China with tariffs on ""at least"" another $300 billion worth of Chinese goods but said he thought both China and Mexico wanted to make deals in their trade disputes with the United States.",France seeks to fend off blame for FCA-Renault deal collapse,"U.S. weekly jobless claims unchanged, point to labor market strength",China rare earth prices soar on their potential role in trade war,Rough waters for Cuban tourism after Trump travel ban,Trump threatens China with further $300 billion tariffs,Trump scuttles U.S. cruises to Cuba in clampdown,"U.S., Mexico set to resume talks as Trump seeks more progress",Beyond Meat's home in the meat aisle sparks food fight,"Exclusive: India to order taxi aggregators like Uber, Ola to go electric",Huawei denies report that orders to key suppliers cut after U.S. blacklisting,Flare-up in trade tensions sours rate-hope rally,Ford to close Wales engine plant in latest blow to UK car sector,Mexican and U.S. officials are set to resume talks in Washington on Thursday aimed at heading off punitive tariffs on Mexican goods after President Donald Trump said more needed to be done to curb migration at the southern U.S. border.,"In a bid to directly compete with ground beef and pork sausage, Beyond Meat Inc bills itself the world's first plant-based burger sold in the meat case of U.S. grocery stores.","India plans to order taxi aggregators like Uber and Ola to convert 40% of their fleet of cars to electric by April 2026, according to a source and records of government meetings to discuss new rules for clean mobility.","Huawei Technologies Co Ltd has cut or canceled orders to major suppliers of components for its smartphones and telecom equipment following its U.S. blacklisting, the Nikkei reported, claims that were rejected by the Chinese firm.",German bond yields fell to new lows on Thursday and U.S. treasury yields resumed their fall as renewed trade tensions doused a rally fueled by hopes for more central bank stimulus ahead of a European Central Bank meeting.,"Ford said it would close its plant in Bridgend, south Wales, next year because of falling demand for some if its engines, putting 1,700 jobs at risk in a further blow to Britain's once booming car industry."
6,20190607,20190607130417,"As Mexico-U.S. talks progress, markets rise on hopes a deal could be close","Mexican and U.S. officials held a second day of talks on trade and migration on Thursday, with markets rebounding on optimism a deal could be close, although it was unclear if Mexican pledges to curb migration flows were enough to persuade the Trump administration to postpone tariffs.",U.S. job growth slows sharply in May; wage gains moderate,Google flags U.S. national security risks from Huawei ban: FT,Europe's 5G to cost $62 billion more if Chinese vendors banned: industry,Bundesbank slashes German growth forecasts on industry's plight,Facebook says Huawei can no longer pre-install its apps,UK's Hammond takes digital sales tax case to G20 meeting in Japan,Exclusive: Facebook suspends app pre-installs on Huawei phones,Stock futures erase gains after sharp slowdown in May jobs growth,France did not come out well in FCA-Renault deal: Italy's Di Maio,"IBM, T-Systems scrap mainframe venture after German criticism",Germany's Opel town shows struggle for Europe to plug in electric cars,UBS switches stance with plan to offer $113 million tax settlement in Italy,"Facebook Inc is no longer allowing pre-installation of its apps on Huawei phones, the latest blow for the Chinese tech giant as it struggles to keep its business afloat in the face of a U.S. ban on its purchase of American parts and software.","U.S. stock index futures pared gains on Friday after data showed domestic job growth slowed sharply in May and wages rose less than expected, adding to concerns over the pace of economic growth.",Italy's Industry Minister Luigi Di Maio blamed the French state for derailing merger talks between Fiat Chrysler and rival Renault saying Paris had come out poorly in the situation.,"IBM has withdrawn an application for anti-trust approval for a mainframe computing venture with T-Systems, the IT services arm of Deutsche Telekom, after the German cartel office made a critical initial assessment of the plan.","Carmakers and policymakers in Europe are staking their futures on a race to electric vehicles. But the vast charging network needed to sustain their vision is patchy, and it's not clear who'll pay for it.","UBS looks set to agree a 100 million euro ($113 million) settlement of a money laundering and tax case in Italy within the next few weeks, according to people familiar with the matter, in contrast to a similar case in France."
7,20190608,20190608123735,Trump calls off tariffs after Mexico vows to tighten borders,"The United States and Mexico struck a deal on Friday to avert a tariff war, with Mexico agreeing to rapidly expand a controversial asylum program and deploy security forces to stem the flow of illegal Central American migrants.",Weak U.S. employment report raises red flag on economy,"G20 finance chiefs to warn of trade risks, differ on how 'pressing'",China to curb some technology exports to U.S.: Global Times editor,"U.S. cuts a deal with Mexico, Trump ditches tariffs",Week ahead on Wall Street,Wall Street rises sharply on rate cut hopes,Wall St. Week Ahead: Top U.S. bond managers betting bond market still has room to run,FedEx to end Amazon contract for FedEx Express plane service,Boeing delayed fix of defective 737 MAX warning light for three years: U.S. lawmakers,France prepared to cut Renault stake to bolster deal with Nissan: AFP,Kraft Heinz completes internal probe into its procurement practices,"Anadarko pressed Occidental for cash, expecting investor opposition -filing",U.S. bond fund managers are betting that the steep gains in Treasuries over the last month are here to stay.,"FedEx Corp on Friday decided to not renew its contract with Amazon.com Inc for U.S. cargo delivery through FedEx Express, the unit that delivers packages on planes, a move that reflects the broader trend of the e-commerce company moving services in-house.","Boeing Co learned that a cockpit warning light on its 737 MAX jetliner was defective in 2017 but decided to defer fixing it until 2020, U.S. lawmakers said on Friday.","French Finance Minister Bruno Le Maire said France is ready to cut its stake in Renault SA in order to consolidate Renault's partnership with Nissan Motor Co, Agence France Press (AFP) reported on Saturday.","Kraft Heinz Co said on Friday the numbers it restated last month were accurate following completion of an internal investigation, but that the matter was under review by the U.S. Attorney's Office.","Anadarko Petroleum exacted a top price for itself by repeatedly spurning Occidental Petroleum's approaches and pushing for all-cash offers, reasoning the market might react negatively to the blockbuster $38 billion deal, according to securities filings released on Friday."
8,20190609,20190609110150,"G20 finance chiefs cite 'intensified' trade row, but don't call for its resolution","Group of 20 finance leaders said on Sunday that trade and geopolitical tensions have ""intensified"", raising risks to improving global growth, but they stopped short of calling for a resolution of a deepening U.S.-China trade conflict.",China calls in foreign tech firms after Huawei sales ban: sources,United Technologies nears deal to merge aerospace unit with Raytheon: source,How much does lithium cost? The industry can't seem to agree,"U.S. cuts a deal with Mexico, Trump ditches tariffs",Week ahead on Wall Street,Wall Street rises sharply on rate cut hopes,Judge rules against FERC's jurisdiction over PG&E; power contract dispute,French finance minister says necessary to preserve Renault-Nissan alliance,Take Five: Enter the dragon,China to curb some technology exports to U.S.: Global Times editor,Wall St. Week Ahead: Top U.S. bond managers betting bond market still has room to run,Iran has no plans to leave OPEC despite tensions: oil minister,A judge in San Francisco has ruled that the Federal Energy Regulatory Commission has no jurisdiction over a dispute involving PG&E; Corp's $42 billion worth of contracts with energy companies.,"French Finance Minister Bruno Le Maire on Sunday said it was necessary to preserve the alliance between Renault SA and Japan's Nissan Motor Co Ltd, which he said has benefited the French automaker with synergies and technology.","There's plenty of life left in the Chinese dragon, but after roaring for three decades it's certainly lost some of its puff. Markets are primed for exports from the world's second largest economy to show weakness and for investment and lending data to show Beijing's stimulus efforts in the face of a trade war with Washington are bearing some fruit.","China is preparing to curb some technology exports to the United States, the chief editor of China's Global Times newspaper said on Saturday.",U.S. bond fund managers are betting that the steep gains in Treasuries over the last month are here to stay.,"Iran has no plans to leave the Organization of the Petroleum Exporting Countries despite being treated like an enemy by some fellow members, Oil Minister Bijan Zanganeh said in an interview published on Saturday."
9,20190610,20190610132727,"Exclusive: Some big tech firms cut employees' access to Huawei, muddying 5G rollout","Some of the world's biggest tech companies have told their employees to stop talking about technology and technical standards with counterparts at Huawei Technologies Co Ltd in response to the recent U.S. blacklisting of the Chinese tech firm, according to people familiar with the matter.","United Technologies, Raytheon both gain on $121 billion merger","Employees sour on Tesla amid cost-cutting, layoffs","Renault rift with Nissan widens over governance, casts shadow on alliance",Stocks climb on trade; yuan falters,"Raytheon, United Technologies merger to create aerospace giant","U.S. cuts a deal with Mexico, Trump ditches tariffs",Exclusive: FCA-Renault revival may hinge on Nissan stake cut - sources,Salesforce to buy big data firm Tableau Software for $15.3 billion,Delay the 'dot plot'? Fed policymakers face communications quandary,Opioid drugmaker Insys Therapeutics files for bankruptcy,Exclusive: Buyout firm Apollo Global in the lead to acquire Shutterfly,"Stocks climb on trade, rate cut optimism; yuan falters","Fiat Chrysler Automobiles NV  and Renault SA are looking for ways to resuscitate their collapsed merger plan and secure the approval of the French carmaker's alliance partner Nissan Motor Co Ltd , according to several sources close to the companies.","Salesforce.com Inc said on Monday it would buy big data company Tableau Software for $15.3 billion in an all-stock deal, marking the biggest acquisition in the company's history.","As Federal Reserve policymakers grapple with how to downplay their quarterly ""dot plot"" projection of interest rates without eliminating it altogether, some are looking at a compromise: delay its release to reduce the chances that analysts treat it as a sneak peek of where Fed policy is heading.","Drugmaker Insys Therapeutics Inc filed for Chapter 11 bankruptcy protection on Monday, about a week after agreeing to pay $225 million to settle a U.S. probe into bribes it paid to doctors for prescribing a powerful opioid medication.","Private equity firm Apollo Global Management LLC is in the lead to acquire Shutterfly Inc after making the highest offer for the U.S. digital imaging company, people familiar with the matter said on Monday.",European shares followed Asian stocks higher on Monday after the United States shelved plans to impose tariffs on Mexico and as investors anticipated lower U.S. interest rates when the Federal Reserve meets next week on the back of poor jobs data.
