,date,timestamp,main_title,main_content,feature_title_0,feature_title_1,feature_title_2,video_title_0,video_title_1,video_title_2,stories_title_0,stories_title_1,stories_title_2,stories_title_3,stories_title_4,stories_title_5,stories_content_0,stories_content_1,stories_content_2,stories_content_3,stories_content_4,stories_content_5
0,20200501,20200501104722,Stocks fall further after Trump's China tariff threat,"World stocks pulled back further on Friday on grim U.S. economic data, mixed company results and President Donald Trump's threat to impose new tariffs on China over the coronavirus crisis.",Trump threatens new tariffs on China in retaliation for coronavirus,Apple sales inch higher despite coronavirus but CEO Tim Cook sees uncertain future,Special Report: FDA's lax rules on coronavirus blood tests open U.S. market to dubious vendors,Trump threatens China with new tariffs in retaliation for coronavirus,Boeing raises $25 bln in blowout debt sale,"SpaceX, Blue Origin get contracts to build NASA's astronaut moon lander",Dreams grounded: Cadet pilots face uncertain future as coronavirus turns shortage to surplus,Amazon extends work from home regime till October 2,"For cloud giants, usage soars but tech investment delays hobble revenue growth","Long lines, lots of kids, and plenty to touch: How does Disney reopen its parks?",Ryanair sets mid-May deadline for talks on new Boeing MAX order,Tesla cuts price for China-made Model 3 cars by 10% to qualify for subsidies,"Mark, 34, quit his job as a town planner in London last year to start flight-training school, buoyed by a conditional offer of employment with budget carrier easyJet  at a time when the airline industry was desperately short of pilots.","Amazon.com Inc has told staff whose job can be done from home that they can do so until at least Oct. 2, pushing out the timeline on a return to work for many employees as it faces scrutiny over conditions in its warehouses.","As lockdown orders force billions of people to work, learn and play from home during the novel coronavirus outbreak, usage has surged for the cloud computing services that power video conferencing, streaming television and online games.","For a glimpse at how Disney recovers from the coronavirus pandemic, look no further than Shanghai, where the entertainment giant has staged a limited reopening of Shanghai Disney Resort. Adults, kids and senior citizens wear masks while wandering among staff and security guards who carry contact-less thermometers and hand sanitizer.","Ryanair  aims to conclude talks with Boeing  on a new plane order in the next two weeks, but possible price cuts or cancellations related to an existing 737 MAX order are also part of the discussions, its chief executive said on Friday.",U.S. electric vehicle maker Tesla Inc  said in Friday it has cut the starting price for China-made Model 3 sedans by 10% to qualify for subsidies in the world's biggest auto market.
1,20200502,20200502123303,Exclusive: U.S. coronavirus stimulus went to some healthcare providers facing criminal inquiries,"Eager to bolster the healthcare system during the coronavirus pandemic, the U.S. government last month sped $30 billion in stimulus payments to most healthcare providers that billed Medicare last year.","Buffett's Berkshire posts record net loss on coronavirus, operating profit rises",Wall Street Week Ahead: Stocks face test as reopenings could fuel demand - or more coronavirus,Tesla to extend furlough for some employees by another week: internal email,Wall Street sinks on renewed tariff threat,Tesla tumbles after Musk tweets stock too high,Bleach boom boosts Clorox's sales,How Boeing went from appealing for government aid to snubbing it,Fed officials worry about lasting economic scars from crisis,"Exxon, Chevron slam brakes on shale as oil demand tumbles","NBCUniversal weighs layoffs at media, entertainment units: WSJ",Will U.S. exchange trading floors still be relevant post-coronavirus?,Special Report: How a corporate PR machine is trying to kill a Wall Street tax,"In just six weeks, Boeing Co  went from seeking government aid to announcing it no longer needed it.","After rolling out trillions of dollars in support for the U.S. economy during the coronavirus pandemic, Federal Reserve officials have begun warning of potentially lasting scars to the workforce and productivity if the recovery is not handled well.","Exxon Mobil Corp and Chevron Corp are slamming the brakes on oil output, as the top two U.S. producers plan for combined global shut-ins of 800,000 barrels per day in response to plunging crude prices and fuel demand.","Comcast Corp  owned NBCUniversal is evaluating a significant reduction of staff across its portfolio of media and entertainment properties as part of a cost-cutting effort, the Wall Street Journal reported on Friday, citing people familiar with the matter.","The coronavirus pandemic has upended U.S. equities trading with unprecedented market volatility and forced bourses like the New York Stock Exchange to close their trading floors, raising questions about the need for such spaces.","As Democratic presidential hopefuls descended on New Hampshire prior to the state’s Feb. 11 primary, John Tackeff was busy."
2,20200503,20200503125157,"Warren Buffett says the coronavirus cannot stop America, or Berkshire Hathaway","(This May 2 story has been refiled to correct the spelling of ""towel"" in second paragraph)","Roche wins U.S. nod for COVID-19 antibody test, aims to boost output",Intel in talks to buy Israel's Moovit public transit app for $1 billion: media,U.S. aviation sector cuts more jobs amid travel meltdown,Americans begin to surface as states ease clamp-downs,Wall Street sinks on renewed tariff threat,Tesla tumbles after Musk tweets stock too high,Berkshire sells entire stakes in U.S. airlines: Buffett,Wall Street Week Ahead: Stocks face test as reopenings could fuel demand - or more coronavirus,Thyssenkrupp sees coronavirus cash squeeze despite elevator sale: letter,Exclusive: U.S. coronavirus stimulus went to some healthcare providers facing criminal inquiries,Buffett's Berkshire posts nearly $50 billion loss as coronavirus causes pain,"Majority of EU states back suspension of air travel refunds, France says","Berkshire Hathaway Inc  sold its entire stakes in the four largest U.S. airlines in April, Chairman Warren Buffett said Saturday at the company's annual meeting, saying ""the world has changed"" for the aviation industry.",A bounce in stocks is likely to face a test in the coming weeks  as investors try to gauge whether countries and U.S. states emerging from lockdowns can arrest a sharp fall in economic growth without provoking a resurgence of coronavirus cases.,"Germany's Thyssenkrupp  expects the coronavirus crisis to cause a new financial squeeze, scuppering hopes that selling its elevator business would deliver a swift cash respite for the embattled firm, its management board told staff in a letter.","Eager to bolster the healthcare system during the coronavirus pandemic, the U.S. government last month sped $30 billion in stimulus payments to most healthcare providers that billed Medicare last year.","Warren Buffett's Berkshire Hathaway Inc is being hit hard by the coronavirus pandemic, posting a record quarterly net loss of nearly $50 billion on Saturday and saying performance is suffering in several major operating businesses.","Germany, Italy and Spain have joined a call by 12 European Union governments for the EU's executive body to suspend rules forcing crisis-hit airlines to offer full cash refunds for cancelled flights, France said in a statement on Saturday."
3,20200504,20200504100021,Stocks fall as U.S./China tensions threaten rebound,"European stock markets and oil prices fell on Monday as a spat between top U.S. officials and China over the origin of the coronavirus fuelled fears of a new trade war, derailing a rebound in global markets.",J. Crew files for bankruptcy as preppy retailer succumbs to COVID-19 fallout,Trump administration pushing to rip global supply chains from China: officials,"Oil prices fall on demand concerns, U.S.-China trade tension",South Koreans rush to 'revenge' shop after isolation,Former shopaholic in China pledges to consume less,Remdesivir to arrive at hospitals this week -Gilead CEO,"Exclusive: Nissan to retrench further in new plan to focus on U.S., Japan, China","White House adviser will not rule out more money for states, small businesses",Mirae Asset scraps $5.8 billion deal to buy U.S. hotels from China's Anbang,"Pandemic slams global factories, activity sinks to new lows",Norwegian Air shareholders back $1 billion rescue plan,Telefonica shares rise on O2-Virgin Media merger talks,"Nissan Motor Co Ltd  will pull back from Europe and elsewhere to focus on the United States, China and Japan under a plan that represents a new strategic direction for the embattled carmaker, people with direct knowledge of the plan told Reuters.","White House economic adviser Larry Kudlow said on Sunday he would not rule out anything in a new relief bill to ease the ""tremendous hardships"" of the coronavirus outbreak, including more money for state and local governments and small businesses.","South Korea's Mirae Asset Global Investments said on Monday that it has terminated a $5.8 billion deal to buy 15 U.S. hotels from China's Anbang Insurance Group [ANBANG.UL], accusing the insurer of breaching contract obligations.","Factory activity was ravaged across the world in April, business surveys showed, and the outlook looked bleak as government lockdowns to contain the new coronavirus pandemic froze global production and slashed demand.","Norwegian Air  shareholders backed its financial survival plan on Monday, with more than 95% of votes cast supporting the conversion of nearly $1 billion of debt into equity and raising more cash from its owners.","Shares in Spain's Telefonica SA  rose on Monday to post the only strong gains on an otherwise almost entirely red Madrid index, after the company confirmed it was in talks with billionaire John Malone's Liberty Global Plc  over a possible merger of their respective businesses in Britain."
4,20200505,20200505120732,"Futures rise on oil gains, easing of lockdowns","U.S. stock index futures rose on Tuesday, building on gains in the previous session, as oil prices jumped and a slew of countries eased coronavirus-led restrictions in an attempt to revive their economies.",Oil spurt lifts stocks out of three-day losing streak,Microsoft to invest $1 billion in Polish cloud project,Hugo Boss expects 50% sales drop next quarter as crisis impact worsens,UAE's high-tech farms see boom instead of gloom,Boeing's 'Loyal Wingman' fighter drone set for action,Tesla stock rise may qualify Musk for $700mln payday,"Thomson Reuters cuts sales outlook, narrowly misses earnings","Uber, Lyft investors want to hear plans to get riders back in cars",Lufthansa not planning to buy rivals weakened by COVID-19 crisis -CEO,Fiat Chrysler turns to 1.7 billion euro loss in first quarter on virus crisis,Tesla stock rise appears to qualify CEO Musk for $700 million payday,Carbon emissions cuts do not mean Repsol will exit oil sector: CEO,"Thomson Reuters reported higher quarterly sales and operating profit that fell slightly short of Wall Street estimates on Tuesday, while cutting its full-year sales outlook due to disruption to the global economy from the coronavirus crisis.","As U.S. lockdowns and fears of the coronavirus pandemic stretch into a third month, who wants to take an Uber ride?","Lufthansa  is not planning to buy rivals weakened by the coronavirus crisis, Chief Executive Carsten Spohr told shareholders at the company's virtual annual general meeting on Tuesday.",Fiat Chrysler   said on Tuesday it turned to a net loss in the first quarter as a consequence of the crisis triggered by the spread of the coronavirus.,"Tesla Chief Executive Elon Musk appeared to qualify on Monday for a $700 million payday, just three days after he said the electric car company's stock price was too high.","A target to reduce carbon emissions to net zero by 2050 does not mean Spanish oil and gas firm Repsol  will stop producing oil though it will focus on certain projects, Chief Executive Josu Jon Imaz said on Tuesday."
5,20200506,20200506115854,Futures rise on optimism around easing of lockdowns,U.S. stock index futures rose on Wednesday as investors turned hopeful of a pickup in business activity with several countries and U.S. states relaxing coronavirus-induced curbs.,Coronavirus hits GM first-quarter profit hard,"Fed policymakers see slow, uneven U.S. recovery after coronavirus downturn","Disney takes $1.4 billion coronavirus hit, sets date to reopen Shanghai park",Booze bonanza for shops masks drinking downturn,NZ's climate change curriculum clashes with dairy dreams,Impossible Foods cashes in on meat industry slowdown,"BMW cuts outlook, sees coronavirus pain lasting all year",UK watchdog deems Shell's 'drive carbon neutral' ad campaign acceptable,Exclusive: U.S. airlines burn through $10 billion a month as traffic plummets,KKR's first-quarter profit rises 11% on stronger asset sales,"Samsung heir Lee apologises over succession, won't hand control to children",CVS Health first-quarter profit beats on COVID-19 stockpiling,"BMW AG  expects the coronavirus pandemic to hit demand and earnings throughout this year, prompting the German automaker to cut its profitability forecast for passenger cars following a drop in first-quarter deliveries.","A Royal Dutch Shell  advertising campaign promising customers they can ""drive carbon neutral"" has been deemed acceptable under Britain's advertising rules following an investigation, regulators said on Wednesday.","U.S. airlines are collectively burning more than $10 billion in cash a month and averaging fewer than two dozen passengers per domestic flight because of the coronavirus pandemic, industry trade group Airlines for America said in prepared testimony seen by Reuters ahead of a U.S. Senate hearing on Wednesday.","Private equity firm KKR & Co Inc  reported an 11% jump in after-tax distributable earnings in the first quarter on Wednesday, driven by growth in asset sales and management fees ahead of the coronavirus-linked market turmoil.","Samsung Group heir Jay Y. Lee, embroiled in a bribery scandal, on Wednesday made a rare apology over controversial succession plans and said he will not hand over management rights to his children at the family-controlled conglomerate.","CVS Health Corp  on Wednesday posted first-quarter profit above Wall Street estimates, as its pharmacy benefits management business and its drugstores benefited from customers stockpiling medicines due to COVID-19 lockdowns."
6,20200507,20200507114034,U.S. unemployment rolls seen swelling as coronavirus restrictions bite,"Millions more Americans likely sought unemployment benefits last week, suggesting a broadening of layoffs from consumer facing industries to other segments of the economy and could remain elevated even as many parts of the country start to reopen.",World food prices fall sharply in April because of coronavirus: U.N.,China trade data lifts futures ahead of jobless claims,"AB InBev sees worse ahead, but some light in China",Bank of England predicts worst slump in 300 years,'Animal Crossing' helps Nintendo smash Switch sales forecast,Fine dining in glass booths,U.S. and Europe spar over next stage of aircraft subsidy dispute,GSK sells $3.35 billion stake in Hindustan Unilever,U.S. reaches settlement to recover over $49 million involving Malaysia's 1MDB: DOJ,Global luxury gloom to deepen despite easing lockdowns: Bain,JetBlue Airways posts quarterly loss and revises Airbus order book,,"The United States said there was ""no valid basis"" for the European Union to retaliate against U.S. goods in a long-running subsidy row after Boeing lost state tax breaks, but the EU said it was pressing ahead with its demand for tariffs.","GlaxoSmithKline  said on Thursday it sold its stake in Unilever's  Indian business  for $3.35 billion, which Refinitiv says is the largest block trade ever to have been carried out in India.","The United States has reached a settlement to recover more than $49 million involving Malaysian sovereign wealth fund 1MDB, the Department of Justice said.","Global sales of luxury goods are expected to slump by 50% to 60% in the second quarter even as some countries begin to ease coronavirus lockdowns and despite signs of recovery in the Chinese market, consultancy Bain said on Thursday.",JetBlue Airways Corp  on Thursday posted a $268 million quarterly loss due to the impact of the coronavirus pandemic on air travel and said it had revised its order book with Airbus SE  to reduce its aircraft capital expenditures by $1.1 billion through 2022.,
7,20200508,20200508114523,"Great Depression-like U.S. job losses, unemployment rate expected in April","The U.S. economy likely lost a staggering 22 million jobs in April, in what would be the steepest plunge in payrolls since the Great Depression and the starkest sign yet of how the novel coronavirus pandemic is battering the world's biggest economy.",Futures climb as Sino-U.S. tensions ease,Tesla aims to restart Fremont plant as soon as Friday: Bloomberg News,"Green hydrogen's time has come, say advocates eying post-pandemic world",'I'm just trying to survive this': Laid-off employees struggle,Luxury retailer Neiman Marcus files for bankruptcy,Nasdaq erases 2020 declines,"Top U.S., China trade officials agree to strengthen cooperation",Explainer: Why Friday's U.S. jobless figures won't capture the true state of the coronavirus economy,Germany's BaFin investigating Wirecard communication ahead of audit publication,Turkey charges seven people over Ghosn escape: lawyer,U.S. Post Office board meets as COVID takes its toll and funding dries up,"Investors exit stocks at fastest rate since March, 'tech fatigue' sets in: BOFA",Top U.S. and Chinese trade representatives discussed their Phase 1 trade deal on Friday with China saying they agreed to improve the atmosphere for its implementation and the United States saying both sides expected obligations to be met.,"The U.S. economy is expected to have shed 22 million jobs in April, tripling the nationwide unemployment rate to 16%, when new government data is published Friday morning.","Germany's financial market watchdog BaFin is investigating Wirecard's  communication with investors directly ahead of the publication of a critical audit by KPMG, a spokeswoman for the regulator said on Friday.","Turkish prosecutors have prepared an indictment charging seven people, including four pilots, over former Nissan  boss Carlos Ghosn's escape via Istanbul to Lebanon after fleeing Japan, a lawyer for one of the suspects said on Friday.",The U.S. Postal Service's Board of Governors meets on Friday at a critical juncture as it faces accusations from the White House that it charges package shippers such as Amazon.com  too little and as the new coronavirus cuts its revenue by about $13 billion.,"Investors pulled $16.2 billion from stocks in the past week in the largest weekly redemption since the March stock market slump, according to the Bank of America's weekly flows data."
8,20200509,20200509105859,Bankruptcy court approves Neiman Marcus' plea to access financing,"U.S. luxury department store chain Neiman Marcus Group said on Friday it received court approval to access $675 million of its debtor-in-possession financing, which will allow continuity of the company's business during Chapter 11 bankruptcy proceedings and enable it to pay employees and vendors.","Wall Street Week Ahead: U.S. data deluge to underscore divide between roaring market, plunging economy","No 'V'-shape return from devastating U.S. job loss, Fed policymakers say","Coronavirus deals U.S. economy Great Depression-like job losses, high unemployment",Wall Street jumps despite historic job losses,Look for stocks to get range-bound: analyst,Pandemic slams healthcare jobs,Trump 'torn' over U.S.-China trade deal as officials push to fulfill its terms,U.S. small business rescue program ignored Congress: watchdog,"Pfizer to outsource some drug production, focus on coronavirus vaccine","California county says Tesla may not reopen vehicle factory, stifling Musk's plans",Southwest to raise $815 million through sale and leaseback of 20 planes,Chipotle secures $600 million credit line amid coronavirus crisis,"U.S. President Donald Trump said on Friday he was ""very torn"" about whether to end the so-called Phase 1 U.S.-China trade deal, just hours after top trade officials from both countries pledged to press ahead with implementing it despite coronavirus economic wreckage.","The U.S. government's $660 billion program to rescue small businesses hit by the coronavirus pandemic thwarts the intention of Congress by making it hard for some borrowers to convert loans to grants and failing to prioritize the right businesses, a government watchdog said on Friday.","Pfizer Inc  said on Friday it is in talks to shift more of its medicine production to outside contractors as it prepares for large-scale production of an experimental vaccine to prevent COVID-19, should it prove safe and effective.","Tesla Inc ""must not reopen"" its vehicle factory in the San Francisco Bay area as local lockdown measures to curb the spread of the coronavirus remain in effect, the local county health department said on Friday.","Southwest Airlines Co  will sell and lease back 20 planes for gross proceeds of about $815 million, the company said in a regulatory filing on Friday.","Chipotle Mexican Grill Inc  has secured a new year-long $600 million revolving credit line, a regulatory filing showed https://bit.ly/2SOtm6L on Friday, as the restaurant chain looks to deal with the fallout from the COVID-19 pandemic."
9,20200510,20200510124322,"Tesla sues California county in virus factory closure fight, threatens to leave",Tesla Inc  sued local authorities in California on Saturday as the electric carmaker pushed to re-open its factory there and Chief Executive Elon Musk threatened to move Tesla's headquarters and future programs from the state to Texas or Nevada.,Major U.S. airlines endorse temperature checks for passengers,"Wall Street Week Ahead: U.S. data deluge to underscore divide between roaring market, plunging economy",Washington in talks with chipmakers about building U.S. factories: WSJ,Wall Street jumps despite historic job losses,Look for stocks to get range-bound: analyst,Pandemic slams healthcare jobs,China central bank signals more policy measures to support virus-ravaged economy,Exclusive: Saudi Aramco seeking to review price of SABIC deal - sources,Emirates to raise debt as it braces for most difficult months ever,"No 'V'-shape return from devastating U.S. job loss, Fed policymakers say","French, Dutch join forces to urge EU to show teeth on trade",Thyssenkrupp overhaul must happen faster due to COVID-19: CEO,China's central bank said on Sunday it will step up counter-cyclical adjustments to support the economy and make monetary policy more flexible to fend off financial risks.,"Saudi Aramco is looking to restructure its deal to acquire a controlling stake in petrochemicals maker SABIC after a more than 40% drop in SABIC's value following a slump in oil prices in coronavirus pandemic, two sources told Reuters.","Emirates, one of the world's biggest long-haul airlines, said on Sunday it will raise debt to help it through the coronavirus pandemic and may have to take tougher measures as it faces the most difficult months in its history.","As many parts of the world's biggest economy begin to reopen after weeks of stay-at-home orders that slowed the spread of the coronavirus but gutted jobs, Americans should not expect a quick return to growth, U.S. Federal Reserve officials said on Friday.","France and the Netherlands have joined forces to urge the European Union to enforce environmental and labour standards more forcefully with countries the bloc signs trade deals with, according to a document seen by Reuters.","Thyssenkrupp  has less time for a wide-ranging restructuring plan than previously thought as the coronavirus pandemic is significantly burdening the already ailing conglomerate, its chief executive said in a note to staff."
